,,,,,,,Flood Characteristics,,,,Impact Category,,,Area,,,,,,,,,,
CID,ID,Year,Month,Day,Place(s) Affected,Description,Source,Flood_Type,Flood,Dataset,1,2,3,England,Anglian,EA_Wales,Midlands,North-East,North-West,NI,Scotland,South-East,South-West,Unspecified
1,M1,1884,January,0,,,,,,MET,,,,,,,,,,,,,,
2,M2,1884,February,0,0,,,,,MET,,,,,,,,,,,,,,
3,M3,1884,March,0,,,,,,MET,,,,,,,,,,,,,,
4,M4,1884,April,0,,,,,,MET,,,,,,,,,,,,,,
5,M5,1884,May,0,,,,,,MET,,,,,,,,,,,,,,
6,M6,1884,June,0,,,,,,MET,,,,,,,,,,,,,,
7,M7,1884,July,0,,,,,,MET,,,,,,,,,,,,,,
8,M8,1884,August,0,,,,,,MET,,,,,,,,,,,,,,
9,M9,1884,September,0,,,,,,MET,,,,,,,,,,,,,,
10,M10,1884,October,0,,,,,,MET,,,,,,,,,,,,,,
11,M11,1884,November,0,,,,,,MET,,,,,,,,,,,,,,
12,M12,1884,December,0,,,,,,MET,,,,,,,,,,,,,,
13,M13,1885,January,0,,,,,,MET,,,,,,,,,,,,,,
14,M14,1885,February,0,,,,,,MET,,,,,,,,,,,,,,
15,M15,1885,March,0,,,,,,MET,,,,,,,,,,,,,,
16,M16,1885,April,0,,,,,,MET,,,,,,,,,,,,,,
17,M17,1885,May,0,,,,,,MET,,,,,,,,,,,,,,
18,M18,1885,June,0,,,,,,MET,,,,,,,,,,,,,,
19,M19,1885,July,0,,,,,,MET,,,,,,,,,,,,,,
20,M20,1885,August,0,,,,,,MET,,,,,,,,,,,,,,
21,M21,1885,September,0,,,,,,MET,,,,,,,,,,,,,,
22,M22,1885,October,0,,,,,,MET,,,,,,,,,,,,,,
23,M23,1885,November,0,,,,,,MET,,,,,,,,,,,,,,
24,M24,1885,December,0,,,,,,MET,,,,,,,,,,,,,,
25,M25,1886,January,0,,,,,,MET,,,,,,,,,,,,,,
26,M26,1886,February,0,,,,,,MET,,,,,,,,,,,,,,
27,M27,1886,March,0,,,,,,MET,,,,,,,,,,,,,,
28,M28,1886,April,0,,,,,,MET,,,,,,,,,,,,,,
29,M29,1886,May,0,North & West Midlands,Floods of exceptional height with very serious damage,Rainfall,T,1,MET,,,1,1,,,1,,,,,,,
30,M30,1886,June,0,,,,,,MET,,,,,,,,,,,,,,
31,M31,1886,July,0,,,,,,MET,,,,,,,,,,,,,,
32,M32,1886,August,0,,,,,,MET,,,,,,,,,,,,,,
33,M33,1886,September,0,,,,,,MET,,,,,,,,,,,,,,
34,M34,1886,October,0,,,,,,MET,,,,,,,,,,,,,,
35,M35,1886,November,0,,,,,,MET,,,,,,,,,,,,,,
36,M36,1886,December,0,,,,,,MET,,,,,,,,,,,,,,
37,M37,1887,January,0,,,,,,MET,,,,,,,,,,,,,,
38,M38,1887,February,0,,,,,,MET,,,,,,,,,,,,,,
39,M39,1887,March,0,,,,,,MET,,,,,,,,,,,,,,
40,M40,1887,April,0,,,,,,MET,,,,,,,,,,,,,,
41,M41,1887,May,0,,,,,,MET,,,,,,,,,,,,,,
42,M42,1887,June,0,,,,,,MET,,,,,,,,,,,,,,
43,M43,1887,July,0,,,,,,MET,,,,,,,,,,,,,,
44,M44,1887,August,0,,,,,,MET,,,,,,,,,,,,,,
45,M45,1887,September,0,,,,,,MET,,,,,,,,,,,,,,
46,M46,1887,October,0,,,,,,MET,,,,,,,,,,,,,,
47,M47,1887,November,0,,,,,,MET,,,,,,,,,,,,,,
48,M48,1887,December,0,,,,,,MET,,,,,,,,,,,,,,
49,M49,1888,January,0,,,,,,MET,,,,,,,,,,,,,,
50,M50,1888,February,0,,,,,,MET,,,,,,,,,,,,,,
51,M51,1888,March,0,,,,,,MET,,,,,,,,,,,,,,
52,M52,1888,April,0,,,,,,MET,,,,,,,,,,,,,,
53,M53,1888,May,0,,,,,,MET,,,,,,,,,,,,,,
54,M54,1888,June,0,,,,,,MET,,,,,,,,,,,,,,
55,M55,1888,July,0,,,,,,MET,,,,,,,,,,,,,,
56,M56,1888,August,0,South-Eastern Counties,Serious & very heavy,Heavy Rainfall,T,1,MET,,,1,1,,,,,,,,1,,
57,M57,1888,September,0,,,,,,MET,,,,,,,,,,,,,,
58,M58,1888,October,0,,,,,,MET,,,,,,,,,,,,,,
59,M59,1888,November,0,,,,,,MET,,,,,,,,,,,,,,
60,M60,1888,December,0,,,,,,MET,,,,,,,,,,,,,,
61,M61,1889,January,0,,,,,,MET,,,,,,,,,,,,,,
62,M62,1889,February,0,,,,,,MET,,,,,,,,,,,,,,
63,M63,1889,March,0,South-Western & Midland Counties,Severe,Depression (Rainfall),T,1,MET,,1,,1,,,1,,,,,,1,
64,M64,1889,April,0,,,,,,MET,,,,,,,,,,,,,,
65,M65,1889,May,0,,,,,,MET,,,,,,,,,,,,,,
66,M66,1889,June,0,,,,,,MET,,,,,,,,,,,,,,
67,M67,1889,July,0,,,,,,MET,,,,,,,,,,,,,,
68,M68,1889,August,0,,,,,,MET,,,,,,,,,,,,,,
69,M69,1889,September,0,,,,,,MET,,,,,,,,,,,,,,
70,M70,1889,October,0,,,,,,MET,,,,,,,,,,,,,,
71,M71,1889,November,0,,,,,,MET,,,,,,,,,,,,,,
72,M72,1889,December,0,,,,,,MET,,,,,,,,,,,,,,
73,M73,1890,January,0,,,,,,MET,,,,,,,,,,,,,,
74,M74,1890,February,0,,,,,,MET,,,,,,,,,,,,,,
75,M75,1890,March,0,,,,,,MET,,,,,,,,,,,,,,
76,M76,1890,April,0,,,,,,MET,,,,,,,,,,,,,,
77,M77,1890,May,0,,,,,,MET,,,,,,,,,,,,,,
78,M78,1890,June,0,,,,,,MET,,,,,,,,,,,,,,
79,M79,1890,July,0,,,,,,MET,,,,,,,,,,,,,,
80,M80,1890,August,0,,,,,,MET,,,,,,,,,,,,,,
81,M81,1890,September,0,,,,,,MET,,,,,,,,,,,,,,
82,M82,1890,October,0,,,,,,MET,,,,,,,,,,,,,,
83,M83,1890,November,0,,,,,,MET,,,,,,,,,,,,,,
84,M84,1890,December,0,,,,,,MET,,,,,,,,,,,,,,
85,M85,1891,January,0,,,,,,MET,,,,,,,,,,,,,,
86,M86,1891,February,0,,,,,,MET,,,,,,,,,,,,,,
87,M87,1891,March,0,,,,,,MET,,,,,,,,,,,,,,
88,M88,1891,April,0,,,,,,MET,,,,,,,,,,,,,,
89,M89,1891,May,0,,,,,,MET,,,,,,,,,,,,,,
90,M90,1891,June,0,,,,,,MET,,,,,,,,,,,,,,
91,M91,1891,July,0,,,,,,MET,,,,,,,,,,,,,,
92,M92,1891,August,0,Lancashire,Heavy localised floods,Heavy Rainfall,T,1,MET,1,,,1,,,,,1,,,,,
93,M93,1891,September,0,,,,,,MET,,,,,,,,,,,,,,
94,M94,1891,October,0,,,,,,MET,,,,,,,,,,,,,,
95,M95,1891,November,0,,,,,,MET,,,,,,,,,,,,,,
96,M96,1891,December,0,,,,,,MET,,,,,,,,,,,,,,
97,M97,1892,January,0,,,,,,MET,,,,,,,,,,,,,,
98,M98,1892,February,0,,,,,,MET,,,,,,,,,,,,,,
99,M99,1892,March,0,,,,,,MET,,,,,,,,,,,,,,
100,M100,1892,April,0,,,,,,MET,,,,,,,,,,,,,,
101,M101,1892,May,0,,,,,,MET,,,,,,,,,,,,,,
102,M102,1892,June,0,,,,,,MET,,,,,,,,,,,,,,
103,M103,1892,July,0,,,,,,MET,,,,,,,,,,,,,,
104,M104,1892,August,0,,,,,,MET,,,,,,,,,,,,,,
105,M105,1892,September,0,,,,,,MET,,,,,,,,,,,,,,
106,M106,1892,October,0,Northern England,Serious,Continuous & heavy Rainfall,T,1,MET,,,1,1,,,,1,1,,,,,
107,M107,1892,November,0,,,,,,MET,,,,,,,,,,,,,,
108,M108,1892,December,0,,,,,,MET,,,,,,,,,,,,,,
109,M109,1893,January,0,,,,,,MET,,,,,,,,,,,,,,
110,M110,1893,February,0,,,,,,MET,,,,,,,,,,,,,,
111,M111,1893,March,0,,,,,,MET,,,,,,,,,,,,,,
112,M112,1893,April,0,,,,,,MET,,,,,,,,,,,,,,
113,M113,1893,May,0,,,,,,MET,,,,,,,,,,,,,,
114,M114,1893,June,0,,,,,,MET,,,,,,,,,,,,,,
115,M115,1893,July,0,,,,,,MET,,,,,,,,,,,,,,
116,M116,1893,August,0,,,,,,MET,,,,,,,,,,,,,,
117,M117,1893,September,0,,,,,,MET,,,,,,,,,,,,,,
118,M118,1893,October,0,,,,,,MET,,,,,,,,,,,,,,
119,M119,1893,November,0,,,,,,MET,,,,,,,,,,,,,,
120,M120,1893,December,0,,,,,,MET,,,,,,,,,,,,,,
121,M121,1894,January,0,,,,,,MET,,,,,,,,,,,,,,
122,M122,1894,February,0,,,,,,MET,,,,,,,,,,,,,,
123,M123,1894,March,0,,,,,,MET,,,,,,,,,,,,,,
124,M124,1894,April,0,,,,,,MET,,,,,,,,,,,,,,
125,M125,1894,May,0,,,,,,MET,,,,,,,,,,,,,,
126,M126,1894,June,0,,,,,,MET,,,,,,,,,,,,,,
127,M127,1894,July,0,,,,,,MET,,,,,,,,,,,,,,
128,M128,1894,August,0,,,,,,MET,,,,,,,,,,,,,,
129,M129,1894,September,0,,,,,,MET,,,,,,,,,,,,,,
130,M130,1894,October,0,,,,,,MET,,,,,,,,,,,,,,
131,M131,1894,November,0,,,,,,MET,,,,,,,,,,,,,,
132,M132,1894,December,0,,,,,,MET,,,,,,,,,,,,,,
133,M133,1895,January,0,,,,,,MET,,,,,,,,,,,,,,
134,M134,1895,February,0,,,,,,MET,,,,,,,,,,,,,,
135,M135,1895,March,0,,,,,,MET,,,,,,,,,,,,,,
136,M136,1895,April,0,,,,,,MET,,,,,,,,,,,,,,
137,M137,1895,May,0,,,,,,MET,,,,,,,,,,,,,,
138,M138,1895,June,0,,,,,,MET,,,,,,,,,,,,,,
139,M139,1895,July,0,,,,,,MET,,,,,,,,,,,,,,
140,M140,1895,August,0,,,,,,MET,,,,,,,,,,,,,,
141,M141,1895,September,0,,,,,,MET,,,,,,,,,,,,,,
142,M142,1895,October,0,,,,,,MET,,,,,,,,,,,,,,
143,M143,1895,November,0,,,,,,MET,,,,,,,,,,,,,,
144,M144,1895,December,0,,,,,,MET,,,,,,,,,,,,,,
145,M145,1896,January,0,,,,,,MET,,,,,,,,,,,,,,
146,M146,1896,February,0,,,,,,MET,,,,,,,,,,,,,,
147,M147,1896,March,0,,,,,,MET,,,,,,,,,,,,,,
148,M148,1896,April,0,,,,,,MET,,,,,,,,,,,,,,
149,M149,1896,May,0,,,,,,MET,,,,,,,,,,,,,,
150,M150,1896,June,0,,,,,,MET,,,,,,,,,,,,,,
151,M151,1896,July,0,,,,,,MET,,,,,,,,,,,,,,
152,M152,1896,August,0,,,,,,MET,,,,,,,,,,,,,,
153,M153,1896,September,0,,,,,,MET,,,,,,,,,,,,,,
154,M154,1896,October,0,,,,,,MET,,,,,,,,,,,,,,
155,M155,1896,November,0,,,,,,MET,,,,,,,,,,,,,,
156,M156,1896,December,0,,,,,,MET,,,,,,,,,,,,,,
157,M157,1897,January,0,,,,,,MET,,,,,,,,,,,,,,
158,M158,1897,February,0,,,,,,MET,,,,,,,,,,,,,,
159,M159,1897,March,0,,,,,,MET,,,,,,,,,,,,,,
160,M160,1897,April,0,,,,,,MET,,,,,,,,,,,,,,
161,M161,1897,May,0,,,,,,MET,,,,,,,,,,,,,,
162,M162,1897,June,0,,,,,,MET,,,,,,,,,,,,,,
163,M163,1897,July,0,,,,,,MET,,,,,,,,,,,,,,
164,M164,1897,August,0,,,,,,MET,,,,,,,,,,,,,,
165,M165,1897,September,0,,,,,,MET,,,,,,,,,,,,,,
166,M166,1897,October,0,,,,,,MET,,,,,,,,,,,,,,
167,M167,1897,November,0,East & South-Eastern coast Britain,Damage,Exceptionally high tides caused by severe gales,C,1,MET,1,,,1,1,,,1,,,1,1,,
168,M168,1897,December,0,,,,,,MET,,,,,,,,,,,,,,
169,M169,1898,January,0,,,,,,MET,,,,,,,,,,,,,,
170,M170,1898,February,0,,,,,,MET,,,,,,,,,,,,,,
