Focal_Paper,Disruption_Index
Progress in vaccine development for infectious diseases-a Keystone Symposia report.,0
Modified uridines are the key to a successful message.,0
A systematic dissection of determinants and consequences of snoRNA-guided pseudouridylation of human mRNA.,0
ASL mRNA-LNP Therapeutic for the Treatment of Argininosuccinic Aciduria Enables Survival Benefit in a Mouse Model.,0
Development of GPC2-directed chimeric antigen receptors using mRNA for pediatric brain tumors.,0
What does the success of mRNA vaccines tell us about the future of biological therapeutics?,0
Lipid nanoparticles enhance the efficacy of mRNA and protein subunit vaccines by inducing robust T follicular helper cell and humoral responses.,0
Single immunizations of self-amplifying or non-replicating mRNA-LNP vaccines control HPV-associated tumors in mice.,0
Ribozyme Assays to Quantify the Capping Efficiency of In Vitro-Transcribed mRNA.,0
Publisher Correction: COVID-19 vaccine BNT162b1 elicits human antibody and T<sub>H</sub>1 T cell responses.,0
Nucleoside-modified VEGFC mRNA induces organ-specific lymphatic growth and reverses experimental lymphedema.,0
InÂ vitro-Transcribed mRNA Therapeutics: Out of the Shadows and Into the Spotlight.,0
"Lyophilization provides long-term stability for a lipid nanoparticle-formulated, nucleoside-modified mRNA vaccine.",0
Local delivery of mRNA-encoded cytokines promotes antitumor immunity and tumor eradication across multiple preclinical tumor models.,0
The Emerging Role of InÂ Vitro-Transcribed mRNA in Adoptive T Cell Immunotherapy.,0
Characterization of HIV-1 Nucleoside-Modified mRNA Vaccines in Rabbits and Rhesus Macaques.,0
Erratum: Elimination of large tumors in mice by mRNA-encoded bispecific antibodies.,0
Oxidative damage of SP-D abolishes control of eosinophil extracellular DNA trap formation.,0
Purification of mRNA Encoding Chimeric Antigen Receptor Is Critical for Generation of a Robust T-Cell Response.,0
Nucleoside-modified mRNA immunization elicits influenza virus hemagglutinin stalk-specific antibodies.,0
Elimination of large tumors in mice by mRNA-encoded bispecific antibodies.,0
Identification of Cyclobutane Pyrimidine Dimer-Responsive Genes Using UVB-Irradiated Human Keratinocytes Transfected with In Vitro-Synthesized Photolyase mRNA.,0
A Facile Method for the Removal of dsRNA Contaminant from InÂ Vitro-Transcribed mRNA.,0
Transfection of pseudouridine-modified mRNA encoding CPD-photolyase leads to repair of DNA damage in human keratinocytes: a new approach with future therapeutic potential.,0
mRNA: Fulfilling the Promise of Gene Therapy.,0
Autologous blood injection to model spontaneous intracerebral hemorrhage in mice.,0
Administration of nucleoside-modified mRNA encoding broadly neutralizing antibody protects humanized mice from HIV-1 challenge.,0
Toll-like receptor 4 contributes to poor outcome after intracerebral hemorrhage.,0
Cerebral preconditioning using cortical application of hypertonic salt solutions: upregulation of mRNAs encoding inhibitors of inflammation.,0
Nucleoside modifications in RNA limit activation of 2'-5'-oligoadenylate synthetase and increase resistance to cleavage by RNase L.,0
BNT162b2 vaccine induces neutralizing antibodies and poly-specific T cells in humans.,0
gp340 expressed on human genital epithelia binds HIV-1 envelope protein and facilitates viral transmission.,0
Induction of tolerance to focal ischemia in rat brain: dissociation between cortical lesioning and spreading depression.,0
Short interfering RNA-mediated inhibition of herpes simplex virus type 1 gene expression and function during infection of human keratinocytes.,0
Naturally occurring nucleoside modifications suppress the immunostimulatory activity of RNA: implication for therapeutic RNA development.,0
Exogenous siRNA mediates sequence-independent gene suppression by signaling through toll-like receptor 3.,0
Cutting edge: innate immune system discriminates between RNA containing bacterial versus eukaryotic structural features that prime for high-level IL-12 secretion by dendritic cells.,0
Inhibition of toll-like receptor and cytokine signaling--a unifying theme in ischemic tolerance.,0
Extracellular mRNA induces dendritic cell activation by stimulating tumor necrosis factor-alpha secretion and signaling through a nucleotide receptor.,0
"Platelet factor 4 binds to low-density lipoprotein receptors and disrupts the endocytic machinery, resulting in retention of low-density lipoprotein on the cell surface.",0
Small interfering RNAs mediate sequence-independent gene suppression and induce immune activation by signaling through toll-like receptor 3.,0
Inhibition of HIV-1 infection by small interfering RNA-mediated RNA interference.,0
Zika virus protection by a single low-dose nucleoside-modified mRNA vaccination.,0
"Generating the optimal mRNA for therapy: HPLC purification eliminates immune activation and improves translation of nucleoside-modified, protein-encoding mRNA.",0
DICER1 deficit induces Alu RNA toxicity in age-related macular degeneration.,0
Sequence- and target-independent angiogenesis suppression by siRNA via TLR3.,0
mRNA is an endogenous ligand for Toll-like receptor 3.,0
Expression kinetics of nucleoside-modified mRNA delivered in lipid nanoparticles to mice by various routes.,0
Incorporation of pseudouridine into mRNA yields superior nonimmunogenic vector with increased translational capacity and biological stability.,0
Increased erythropoiesis in mice injected with submicrogram quantities of pseudouridine-containing mRNA encoding erythropoietin.,0
Nucleoside-modified mRNA vaccines induce potent T follicular helper and germinal center B cell responses.,0
A noninflammatory mRNA vaccine for treatment of experimental autoimmune encephalomyelitis.,0
